date,cash,equity,dividendCash,cumulativeDividends,holdings,top3,pendingSwapBuy,pendingSwapSell,positionValue,kospiClose,kospiValue
2002-08-07,2192012.3011381067,15827800.301138107,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_eandc,lotte_chilsung,samsung_fire",,,13635788.0,679.37,8248485.36357345
2002-08-08,2192012.3011381067,16024600.301138107,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_eandc,hyundai_motor_3pref,samsung_fire",,,13832588.0,684.49,8310649.199276374
2002-08-09,2192012.3011381067,15988650.301138107,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_eandc,samsung_fire,hyundai_motor_3pref",,,13796638.0,692.45,8407294.537595766
2002-08-12,2192012.3011381067,15966850.301138107,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_motor_3pref,lg_chem,hyundai_motor",,,13774838.0,695.39,8442990.177628305
2002-08-13,2192012.3011381067,15988650.301138107,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_motor_3pref,lg_chem,doosan",,,13796638.0,708.63,8603741.971516335
2002-08-14,2192012.3011381067,15988650.301138107,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_motor_3pref,doosan,lg_elec",,,13796638.0,711.24,8635430.958075834
2002-08-16,2192012.3011381067,16444100.301138107,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_eandc,samsung_fire,hyundai_motor_3pref",,,14252088.0,718.29,8721027.645908965
2002-08-19,2192012.3011381067,16422300.301138107,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_motor_3pref,lg_elec,doosan",,,14230288.0,717.58,8712407.270254847
2002-08-20,2192012.3011381067,16618500.301138107,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_motor_3pref,lg_elec,hyundai_motor",,,14426488.0,736.7,8944550.344207957
2002-08-21,2192012.3011381067,16900150.301138107,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_eandc,hyundai_motor_3pref,lg_chem",,,14708138.0,745.12,9046780.714641282
2002-08-22,2192012.3011381067,16855950.301138107,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_eandc,hyundai_motor_3pref,lotte_chilsung",,,14663938.0,745.75,9054429.78036254
2002-08-26,2192012.3011381067,16560900.301138107,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_eandc,hyundai_motor_3pref,lg_chem",,,14368888.0,734.79,8921360.319560967
2002-08-27,2192012.3011381067,16669900.301138107,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_motor_3pref,lg_chem,doosan",,,14477888.0,724.17,8792418.925974041
2002-08-28,2192012.3011381067,16758300.301138107,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_eandc,lotte_chilsung,hyundai_motor_3pref",,,14566288.0,724.05,8790961.961074755
2002-08-29,2192012.3011381067,16876750.301138107,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_eandc,hyundai_motor_3pref,lotte_chilsung",,,14684738.0,724.94,8801767.784077803
